date,id,parentId,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
Mar-14,24029,23165,,"Tamara,Finkelstein",SCS2,"Director, Public Services",Public Services,0,75000,79999,Policy
Mar-14,24030,24042,,"Beth,Russell",SCS2,"Director, Personal Tax, Welfare and pensions Group","Personal Tax, Welfare and Pensions",0,80000,84999,Policy
Mar-14,24031,23165,,"Lindsey,Fussell",SCS2,"Director, Public Services",Public Services,0,75000,79999,Policy
Mar-14,24032,25448,,"Peter,Curwen",SCS2,Director Europe,International and EU,0,90000,94999,Policy
Mar-14,24033,24775,,"Lowri,Khan",SCS2,Director Financial Stability,Financial Stability,0,85000,89999,Policy
Mar-14,24036,24042,,"James,Bowler",SCS2,Director Strategy Planning and Budget,"Strategy, Planning and Budget",0,95000,99999,Policy
Mar-14,24059,24041,,"James,Richardson",SCS2,"Director, Fiscal Policy",Director's Office Fiscal,0,85000,89999,Policy
Mar-14,24062,19678,,"Alison,Cottrell",SCS2,Director Corporate Services,Corporate Centre,0,45000,49999,Policy
Mar-14,24064,24775,,"Alison,Cottrell",SCS2,Director Financial Services,Financial Services,0,45000,49999,Policy
Mar-14,21007,24038,,"James,Ballingall",SCS1A,IUK Comm Specialist,Assurance & International,0,185000,189999,Policy
Mar-14,23965,24024,,N/D,SCS1,"Deputy Director, Head of Government Finance Profession",Treasury Group Internal Audit,265375,N/A,,Policy
Mar-14,24350,24030,,N/D,SCS1,"Deputy Director, Tax Administration, Spending and Reform","Tax Administration, Spending and Reform",336329,N/A,,Policy
Mar-14,25142,24059,,N/D,SCS1,"Deputy Director, Debt and Reserves Management",Debt and Reserves Management,339744,N/A,,Policy
Mar-14,24051,24029,,N/D,SCS1,"Deputy Director, Health",Health,363561,N/A,,Policy
Mar-14,24884,24029,,N/D,SCS1,"Deputy Director, Housing Planning and Cities",Housing Planning and Cities,373200,N/A,,Policy
Mar-14,25139,24041,,N/D,SCS1,"Deputy Director, Government Economic and Social Research",Government Economic & Social Research Unit,380844,N/A,,Policy
Mar-14,24774,24029,,N/D,SCS1,"Deputy Director, Education, Children, and Culture","Education, Children and Culture",383187,N/A,,Policy
Mar-14,24010,24041,,N/D,SCS1,"Deputy Director, Economics of the UK",Economics of the UK,409126,N/A,,Economics
Mar-14,23953,24028,,N/D,SCS1,"Deputy Director, Transport Regulation and Competition",Transport Regulation and Competition,411112,N/A,,Economics
Mar-14,23976,24031,,N/D,SCS1,"Deputy Director, Treasury Officer of Accounts",Treasury Officer of Accounts Team,428656,N/A,,Policy
Mar-14,24549,24041,,N/D,SCS1,"Deputy Director, Macroeconomic Coordination & Strategy",Macroeconomic Coordination & Strategy,428725,N/A,,Economics
Mar-14,25134,24038,,N/D,SCS1,"Deputy Director, Infrastructure UK Policy and Strategy",Infrastructure Policy and Strategy,429765,N/A,,Policy
Mar-14,24322,24024,,N/D,SCS1,"Deputy Director, Head of Government Finance Profession",Office of Head of Government Finance Profession,438403,N/A,,Policy
Mar-14,23998,24040,,N/D,SCS1,"Deputy Director, Banking and Financial Services Analysis",Banking & Financial Sector Analysis,443549,N/A,,Policy
Mar-14,24000,24030,,N/D,SCS1,"Deputy Director, Pensions and Savings Team",Pensions and Savings Team,490038,N/A,,Policy
Mar-14,25259,24030,,N/D,SCS1,"Deputy Director, Labour Markets and Distributional Analysis",Labour Markets and Distributional Analysis,499546,N/A,,Policy
Mar-14,23954,24028,,N/D,SCS1,"Deputy Director, Corporate Finance, Business, Innovation and Skills","Corporate Finance, Business, Innovation & Skills",503639,N/A,,Policy
Mar-14,24056,24031,,N/D,SCS1,"Deputy Director, Home and Legal",Home and Legal,503910,N/A,,Policy
Mar-14,25499,24033,,N/D,SCS1,"Deputy Director, Banking Compensation and Legacy Assets",Banking Compensation and Legacy Assets,506139,N/A,,Policy
Mar-14,25070,24028,,N/D,SCS1,"Deputy Director, Energy, Enviroment and Agriculture","Energy, Environment and Agriculture",517488,N/A,,Policy
Mar-14,24016,24028,,N/D,SCS1,"Deputy Director, Growth and Productivity",Growth and Productivity,531114,N/A,,Policy
Mar-14,24253,24027,,N/D,SCS1,"Deputy Director, Enterprise and Property Tax",Enterprise and Property Tax,534456,N/A,,Policy
Mar-14,23989,24032,,N/D,SCS1,"Deputy Director, EU Institutions and Policy",European Institutions and Policy,536096,N/A,,Policy
Mar-14,24011,24040,,N/D,SCS1,"Deputy Director, Financial Services Strategy",Financial Services Strategy,545725,N/A,,Policy
Mar-14,24655,24058,,N/D,SCS1,"Deputy Director, International Institutions and Policy",International Institutions and Policy,547735,N/A,,Economics
Mar-14,23957,24041,,N/D,SCS1,"Deputy Director, Economic Assessment",Economic Assessment,563096,N/A,,Economics
Mar-14,23966,24027,,N/D,SCS1,"Deputy Director, Corporate Tax",Corporate Taxation,584535,N/A,,Policy
Mar-14,23967,24027,,N/D,SCS1,"Deputy Director, Environment and Transport Tax",Environment and Transport Tax,598387,N/A,,Policy
Mar-14,23960,24024,,N/D,SCS1,"Deputy Director, Workforce Pay and Pensions",Workforce Pay and Pensions Team,601193,N/A,,Policy
Mar-14,24629,24032,,N/D,SCS1,"Deputy Director, EU Financing",European Union Finances,614827,N/A,,Policy
Mar-14,24744,24028,,N/D,SCS1,"Deputy Director, Competition, Markets, and Regulation","Competition, Markets and Regulation",621791,N/A,,Policy
Mar-14,25393,24033,,N/D,SCS1,Deputy Director. Resilience and Resolution,Resilience and Resolution,629475,N/A,,Policy
Mar-14,23999,24040,,N/D,SCS1,"Deputy Director, Securities and Markets",Securities & Markets,641934,N/A,,Policy
Mar-14,24019,24024,,N/D,SCS1,"Deputy Director, General Expenditure Policy",General Expenditure Policy,659609,N/A,,Policy
Mar-14,24582,24033,,N/D,SCS1,"Deputy Director, RBS, Lloyds and Analytical","RBS, Lloyds and Analytical",711606,N/A,,Policy
Mar-14,24274,24027,,N/D,SCS1,"Deputy Director, Equitable Life and International Tax",Equitable Life and International Tax,713245,N/A,,Policy
Mar-14,24888,24029,,N/D,SCS1,"Deputy Director, Devolved and Local Government",Devolved and Local Government,719686,N/A,,Policy
Mar-14,23968,24030,,N/D,SCS1,"Deputy Director Welfare, Spending and Reform",Welfare Spending and Reform,721775,N/A,,Policy
Mar-14,23987,24059,,N/D,SCS1,"Deputy Director, Fiscal Policy and Statistics",Fiscal Policy and Statistics,766099,N/A,,Policy
Mar-14,24053,24064,,N/D,SCS1,"Deputy Director, Insurance and Savings Team",Insurance and Savings,775740,N/A,,Policy
Mar-14,23950,24059,,N/D,SCS1,"Deputy Director, Exchequer Funds and Accounts",Exchequer Funds and Accounts,775838,N/A,,Finance
Mar-14,24638,24032,,N/D,SCS1,"Deputy Director, Global Economics",Global Economics,793014,N/A,,Policy
Mar-14,23995,24064,,N/D,SCS1,"Deputy Director, Banking & Credit",Banking & Credit,804010,N/A,,Policy
Mar-14,25062,24024,,N/D,SCS1,"Deputy Director, Government Financial Reporting",Government Financial Reporting,857886,N/A,,Policy
Mar-14,24017,24036,,N/D,SCS1,"Deputy Director, Strategy Planning and Projects","Strategy, Planning & Projects",868785,N/A,,Policy
Mar-14,24013,24036,,N/D,SCS1,"Deputy Director, Budget & Tax Strategy",Budget & Tax Strategy,881629,N/A,,Policy
Mar-14,25140,24058,,N/D,SCS1,"Deputy Director, Sanctions and Counter Illicit Finance",Sanctions and Counter Illicit Finance,949454,N/A,,Policy
Mar-14,24054,24031,,N/D,SCS1,"Deputy Director, Defence,Diplomacy and Intelligence",Defence Diplomacy & Intelligence,958319,N/A,,Policy
Mar-14,25203,24025,,N/D,SCS1,"Deputy Director, Group Finance",Group Finance,959740,N/A,,Policy
Mar-14,24005,19678,,N/D,SCS1,"Deputy Director, Communications",COM Team,979970,N/A,,Policy
Mar-14,24057,24030,,N/D,SCS1,"Deputy Director, Personal Taxation",Personal Taxation,964280,N/A,,Policy
Mar-14,24087,24027,,N/D,SCS1,"Deputy Director, VAT and Excise",VAT & International Excise,995270,N/A,,Policy
Mar-14,24363,24062,,N/D,SCS1,"Deputy Director, Group Human Resources",Group Human Resources,1344934,N/A,,Human Resources
Mar-14,23984,19678,,N/D,SCS1,"Deputy Director, Ministerial Support",Chancellor's Office,1742789,N/A,,Policy
Mar-14,23964,24025,,N/D,SCS1,"Deputy Director, Joint Workspace Solutions",Joint Workplace solutions,2663688,N/A,,Information Technology
Mar-14,23979,24032,,N/D,SCS1,"Deputy Director, Europe",Director's Office Europe,0,N/A,,Policy
Mar-14,25595,24028,,N/D,SCS1,"Deputy Director, Markets in Government Services",Markets in Government Services,0,N/A,,Policy
Mar-14,23959,24025,,N/D,SCS1,Deputy Director Group Finance,Group Finance,0,N/A,,Finance
Mar-14,24773,24029,,N/D,SCS1,"Deputy Director, Education, Children, and Culture","Education, Children and Culture",0,N/A,,Policy
Mar-14,24942,24024,,N/D,SCS1,"Deputy Director, Government Finance Profession, and Financial Management Review.",Government Finance Profession,0,N/A,,Policy
Mar-14,23986,24029,,N/D,SCS1,"Deputy Director,Public Services",Director's Office Public Services,0,N/A,,Policy
Mar-14,0,24030,,N/D,SCS1,Not in Post,N/A,0,N/A,,Policy
Mar-14,24015,23964,,N/D,SCS1,"Deputy Director, ICT Change Program",Joint Workplace solutions,0,N/A,,Information Technology
Mar-14,24061,24030,,N/D,SCS1,"Deputy Director, Pensions and Savings Team",Pensions and Savings Team,0,N/A,,Policy
Mar-14,24983,24062,,N/D,SCS1,"Deputy Director, Strategic Projects",Group Human Resources,0,N/A,,Policy
Mar-14,25038,24036,,N/D,SCS1,"Deputy Director, Scotland Analysis Programme",Scotland Analysis programme,0,N/A,,Policy
Mar-14,25597,24028,,N/D,SCS1,"Deputy Director, Commercial Capability Review",Commercial Capability Review,0,N/A,,Policy
Mar-14,uid-93,24038,,,Range C,Policy Support Officer,Assurance & International,0,18727,26720,Policy
Mar-14,uid-94,24038,,,Specialist,Specialist,Assurance & International,0,28000,145000,Policy
Mar-14,uid-95,23995,,,Range D,Policy Advisor,Banking & Credit,0,24578,38255,Economics
Mar-14,uid-96,23995,,,Range D,Policy Advisor,Banking & Credit,0,24578,38255,Policy
Mar-14,uid-97,23995,,,Range E,Senior Policy Advisor,Banking & Credit,0,41550,57801,Economics
Mar-14,uid-98,23995,,,Range E,Senior Policy Advisor,Banking & Credit,0,41550,57801,Policy
Mar-14,uid-99,23995,,,Range E2,Senior Policy Advisor,Banking & Credit,0,49490,60000,Policy
Mar-14,uid-100,23995,,,Student,Student,Banking & Credit,0,18480,18480,Policy
Mar-14,uid-101,23998,,,Range D,Policy Advisor,Banking & Financial Sector Analysis/Director's Office,0,24578,38255,Policy
Mar-14,uid-102,23998,,,Range E,Senior Policy Advisor,Banking & Financial Sector Analysis/Director's Office,0,41550,57801,Policy
Mar-14,uid-103,25499,,,Range D,Policy Advisor,Banking Compensation and Legacy Assets/Banking Commision Implementation,0,24578,38255,Policy
Mar-14,uid-104,25499,,,Range E,Senior Policy Advisor,Banking Compensation and Legacy Assets/Banking Commision Implementation,0,41550,57801,Policy
Mar-14,uid-105,25499,,,Range E2,Senior Policy Advisor,Banking Compensation and Legacy Assets/Banking Commision Implementation,0,49490,60000,Policy
Mar-14,uid-106,24013,,,Range C,Policy Support Officer,Budget & Tax Strategy/Director's Office/GMS,0,18727,26720,Policy
Mar-14,uid-107,24013,,,Range D,Policy Advisor,Budget & Tax Strategy/Director's Office/GMS,0,24578,38255,Policy
Mar-14,uid-108,24013,,,Range E,Senior Policy Advisor,Budget & Tax Strategy/Director's Office/GMS,0,41550,57801,Planning
Mar-14,uid-109,24013,,,Range E,Senior Policy Advisor,Budget & Tax Strategy/Director's Office/GMS,0,41550,57801,Policy
Mar-14,uid-110,24013,,,Range E2,Senior Policy Advisor,Budget & Tax Strategy/Director's Office/GMS,0,49490,60000,Policy
Mar-14,uid-111,24013,,,Student,Student,Budget & Tax Strategy/Director's Office/GMS,0,18480,18480,Policy
Mar-14,uid-112,23984,,,Range B,Policy Support Officer,Chancellor's Office,0,16386,21663,Policy
Mar-14,uid-113,23984,,,Range C,Policy Support Officer,Chancellor's Office,0,18727,26720,Policy
Mar-14,uid-114,23984,,,Range D,Policy Advisor,Chancellor's Office,0,24578,38255,Policy
Mar-14,uid-115,23984,,,Range E,Senior Policy Advisor,Chancellor's Office,0,41550,57801,Policy
Mar-14,uid-116,23984,,,Range E2,Senior Policy Advisor,Chancellor's Office,0,49490,60000,Policy
Mar-14,uid-117,23984,,,Range B,Policy Support Officer,Chief Secretary's Office,0,16386,21663,Policy
Mar-14,uid-118,23984,,,Range C,Policy Support Officer,Chief Secretary's Office,0,18727,26720,Policy
Mar-14,uid-119,23984,,,Range D,Policy Advisor,Chief Secretary's Office,0,24578,38255,Policy
Mar-14,uid-120,23984,,,Range E2,Senior Policy Advisor,Chief Secretary's Office,0,49490,60000,Policy
Mar-14,uid-121,24005,,,Range B,Press Support Officer,COM Team,0,16386,21663,Operational Delivery
Mar-14,uid-122,24005,,,Range C,Communications Support Officer,COM Team,0,18727,26720,Communications
Mar-14,uid-123,24005,,,Range C,Communications Support Officer,COM Team,0,18727,26720,Policy
Mar-14,uid-124,24005,,,Range C,Press Support Officer,COM Team,0,18727,26720,Operational Delivery
Mar-14,uid-125,24005,,,Range D,Communications Manager,COM Team,0,24578,38255,Communications
Mar-14,uid-126,24005,,,Range E,Senior Communications Manager,COM Team,0,41550,57801,Communications
Mar-14,uid-127,24005,,,Range E2,Senior Communications Manager,COM Team,0,49490,60000,Communications
Mar-14,uid-128,23984,,,Range C,Treasury Official,Commercial Secretary's Office/Director General's Office,0,18727,26720,Policy
Mar-14,uid-129,23984,,,Range D,Treasury Official,Commercial Secretary's Office/Director General's Office,0,24578,38255,Policy
Mar-14,uid-130,23984,,,Range E,Treasury Official,Commercial Secretary's Office/Director General's Office,0,41550,57801,Policy
Mar-14,uid-131,24744,,,Range B,Policy Support Officer,"Competition, Markets and Regulation/GMS",0,16386,21663,Policy
Mar-14,uid-132,24744,,,Range C,Policy Support Officer,"Competition, Markets and Regulation/GMS",0,18727,26720,Policy
Mar-14,uid-133,24744,,,Range D,Policy Advisor,"Competition, Markets and Regulation/GMS",0,24578,38255,Policy
Mar-14,uid-134,24744,,,Range E,Senior Policy Advisor,"Competition, Markets and Regulation/GMS",0,41550,57801,Policy
Mar-14,uid-135,24744,,,Range E2,Senior Policy Advisor,"Competition, Markets and Regulation/GMS",0,49490,60000,Policy
Mar-14,uid-136,23954,,,Range D,Policy Advisor,"Corporate Finance, Business, Innovation & Skills",0,24578,38255,Policy
Mar-14,uid-137,23954,,,Range E,Senior Policy Advisor,"Corporate Finance, Business, Innovation & Skills",0,41550,57801,Policy
Mar-14,uid-138,23954,,,Student,Student,"Corporate Finance, Business, Innovation & Skills",0,18480,18480,Policy
Mar-14,uid-139,23966,,,Range B,Policy Support Officer,Corporate Taxation/Director's Office,0,16386,21663,Policy
Mar-14,uid-140,23966,,,Range D,Policy Advisor,Corporate Taxation/Director's Office,0,24578,38255,Policy
Mar-14,uid-141,23966,,,Range E,Senior Policy Advisor,Corporate Taxation/Director's Office,0,41550,57801,Policy
Mar-14,uid-142,24025,,,Range B,Treasury Official,Correspondence & Information Rights Team,0,16386,21663,Policy
Mar-14,uid-143,24025,,,Range C,Treasury Official,Correspondence & Information Rights Team,0,18727,26720,Policy
Mar-14,uid-144,24025,,,Range D,Treasury Official,Correspondence & Information Rights Team,0,24578,38255,Policy
Mar-14,uid-145,24025,,,Range E,Treasury Official,Correspondence & Information Rights Team,0,41550,57801,Policy
Mar-14,uid-146,24025,,,Range E2,Treasury Official,Correspondence & Information Rights Team,0,49490,60000,Policy
Mar-14,uid-147,24054,,,Range C,Policy Support Officer,Data Quality and OSCAR,0,18727,26720,Policy
Mar-14,uid-148,24054,,,Range D,Policy Advisor,Data Quality and OSCAR,0,24578,38255,Policy
Mar-14,uid-149,24054,,,Range E,Senior Policy Advisor,Data Quality and OSCAR,0,41550,57801,Policy
Mar-14,uid-150,24054,,,Range E2,Senior Policy Advisor,Data Quality and OSCAR,0,49490,60000,Policy
Mar-14,uid-151,25142,,,Range D,Policy Advisor,Debt and Reserves Management,0,24578,38255,Economics
Mar-14,uid-152,25142,,,Range D,Policy Advisor,Debt and Reserves Management,0,24578,38255,Policy
Mar-14,uid-153,25142,,,Range E,Senior Policy Advisor,Debt and Reserves Management,0,41550,57801,Economics
Mar-14,uid-154,25142,,,Range E,Senior Policy Advisor,Debt and Reserves Management,0,41550,57801,Policy
Mar-14,uid-155,25142,,,Range E2,Senior Policy Advisor,Debt and Reserves Management,0,49490,60000,Policy
Mar-14,uid-156,25142,,,Student,Student,Debt and Reserves Management,0,18480,18480,Policy
Mar-14,uid-157,24054,,,Range C,Policy Support Officer,Defence Diplomacy & Intelligence,0,18727,26720,Policy
Mar-14,uid-158,24054,,,Range D,Policy Advisor,Defence Diplomacy & Intelligence,0,24578,38255,Policy
Mar-14,uid-159,24054,,,Range E,Senior Policy Advisor,Defence Diplomacy & Intelligence,0,41550,57801,Policy
Mar-14,uid-160,24888,,,Range B,Policy Support Officer,Devolved and Local Government/Director's Office/GMS,0,16386,21663,Policy
Mar-14,uid-161,24888,,,Range C,Policy Support Officer,Devolved and Local Government/Director's Office/GMS,0,18727,26720,Policy
Mar-14,uid-162,24888,,,Range D,Policy Advisor,Devolved and Local Government/Director's Office/GMS,0,24578,38255,Policy
Mar-14,uid-163,24888,,,Range E,Senior Policy Advisor,Devolved and Local Government/Director's Office/GMS,0,41550,57801,Policy
Mar-14,uid-164,24888,,,Range E2,Senior Policy Advisor,Devolved and Local Government/Director's Office/GMS,0,49490,60000,Policy
Mar-14,uid-165,23957,,,Range B,Policy Support Officer,Economic Assessment,0,16386,21663,Economics
Mar-14,uid-166,23957,,,Range D,Policy Advisor,Economic Assessment,0,24578,38255,Economics
Mar-14,uid-167,23957,,,Range E,Senior Policy Advisor,Economic Assessment,0,41550,57801,Economics
Mar-14,uid-168,23957,,,Range E2,Senior Policy Advisor,Economic Assessment,0,49490,60000,Economics
Mar-14,uid-169,23957,,,Student,Student,Economic Assessment,0,18480,18480,Economics
Mar-14,uid-170,24010,,,Range B,Research Support Officer,Economic Assessment/Economics Model Unit/GMS,0,16386,21663,Social Research
Mar-14,uid-171,24010,,,Range C,Policy Support Officer,Economic Assessment/Economics Model Unit/GMS,0,18727,26720,Social Research
Mar-14,uid-172,24010,,,Range C,Research Support Officer,Economic Assessment/Economics Model Unit/GMS,0,18727,26720,Social Research
Mar-14,uid-173,24010,,,Range D,Policy Advisor,Economic Assessment/Economics Model Unit/GMS,0,24578,38255,Economics
Mar-14,uid-174,24010,,,Range E,Senior Policy Advisor,Economic Assessment/Economics Model Unit/GMS,0,41550,57801,Economics
Mar-14,uid-175,24010,,,Range E2,Senior Policy Advisor,Economic Assessment/Economics Model Unit/GMS,0,49490,60000,Economics
Mar-14,uid-176,24010,,,Range E2,Senior Policy Advisor,Economic Assessment/Economics Model Unit/GMS,0,49490,60000,Social Research
Mar-14,uid-177,23984,,,Range B,Treasury Official,"Economic, Exchequer, Financial Secretary's Office",0,16386,21663,Policy
Mar-14,uid-178,23984,,,Range C,Treasury Official,"Economic, Exchequer, Financial Secretary's Office",0,18727,26720,Policy
Mar-14,uid-179,23984,,,Range D,Treasury Official,"Economic, Exchequer, Financial Secretary's Office",0,24578,38255,Policy
Mar-14,uid-180,23984,,,Range E,Treasury Official,"Economic, Exchequer, Financial Secretary's Office",0,41550,57801,Policy
Mar-14,uid-181,24774,,,Range D,Policy Advisor,"Education, Children and Culture",0,24578,38255,Policy
Mar-14,uid-182,24774,,,Range E,Senior Policy Advisor,"Education, Children and Culture",0,41550,57801,Economics
Mar-14,uid-183,24774,,,Range E,Senior Policy Advisor,"Education, Children and Culture",0,41550,57801,Policy
Mar-14,uid-184,25070,,,Range D,Policy Advisor,"Energy, Environment and Agriculture",0,24578,38255,Policy
Mar-14,uid-185,25070,,,Range E,Senior Policy Advisor,"Energy, Environment and Agriculture",0,41550,57801,Policy
Mar-14,uid-186,25070,,,Range E2,Senior Policy Advisor,"Energy, Environment and Agriculture",0,49490,60000,Policy
Mar-14,uid-187,25070,,,Student,Student,"Energy, Environment and Agriculture",0,18480,18480,Policy
Mar-14,uid-188,24253,,,Range D,Policy Advisor,Enterprise and Property Tax,0,24578,38255,Policy
Mar-14,uid-189,24253,,,Range E,Senior Policy Advisor,Enterprise and Property Tax,0,41550,57801,Policy
Mar-14,uid-190,23967,,,Range C,Policy Support Officer,Environment and Transport Tax,0,18727,26720,Policy
Mar-14,uid-191,23967,,,Range D,Policy Advisor,Environment and Transport Tax,0,24578,38255,Policy
Mar-14,uid-192,23967,,,Range E,Senior Policy Advisor,Environment and Transport Tax,0,41550,57801,Economics
Mar-14,uid-193,23967,,,Range E,Senior Policy Advisor,Environment and Transport Tax,0,41550,57801,Policy
Mar-14,uid-194,23967,,,Range E2,Senior Policy Advisor,Environment and Transport Tax,0,49490,60000,Policy
Mar-14,uid-195,24274,,,Student,Student,Equitable Life and International Tax/GMS,0,18480,18480,Policy
Mar-14,uid-196,24274,,,Range B,Policy Support Officer,Equitable Life and International Tax/GMS,0,16386,21663,Policy
Mar-14,uid-197,24274,,,Range D,Policy Advisor,Equitable Life and International Tax/GMS,0,24578,38255,Policy
Mar-14,uid-198,24274,,,Range E,Senior Policy Advisor,Equitable Life and International Tax/GMS,0,41550,57801,Policy
Mar-14,uid-199,24274,,,Range E2,Senior Policy Advisor,Equitable Life and International Tax/GMS,0,49490,60000,Policy
Mar-14,uid-200,23989,,,Range C,Policy Support Officer,European Institutions and Policy,0,18727,26720,Policy
Mar-14,uid-201,23989,,,Range D,Policy Advisor,European Institutions and Policy,0,24578,38255,Policy
Mar-14,uid-202,23989,,,Range E,Senior Policy Advisor,European Institutions and Policy,0,41550,57801,Economics
Mar-14,uid-203,23989,,,Range E,Senior Policy Advisor,European Institutions and Policy,0,41550,57801,Policy
Mar-14,uid-204,24629,,,Range B,Policy Support Officer,European Union Finances/GMS,0,16386,21663,Policy
Mar-14,uid-205,24629,,,Range C,Policy Support Officer,European Union Finances/GMS,0,18727,26720,Policy
Mar-14,uid-206,24629,,,Range D,Policy Advisor,European Union Finances/GMS,0,24578,38255,Policy
Mar-14,uid-207,24629,,,Range E,Senior Policy Advisor,European Union Finances/GMS,0,41550,57801,Policy
Mar-14,uid-208,23950,,,Range B,Treasury Official,Exchequer Funds and Accounts/Intervention Strategy and Markets,0,16386,21663,Policy
Mar-14,uid-209,23950,,,Range C,Treasury Official,Exchequer Funds and Accounts/Intervention Strategy and Markets,0,18727,26720,Policy
Mar-14,uid-210,23950,,,Range D,Treasury Official,Exchequer Funds and Accounts/Intervention Strategy and Markets,0,24578,38255,Policy
Mar-14,uid-211,23950,,,Range E,Treasury Official,Exchequer Funds and Accounts/Intervention Strategy and Markets,0,41550,57801,Policy
Mar-14,uid-212,23950,,,Range E2,Treasury Official,Exchequer Funds and Accounts/Intervention Strategy and Markets,0,49490,60000,Policy
Mar-14,uid-213,25203,,,Range B,Finance Support Officer,Finance and HR Operational Services,0,16386,21663,Finance
Mar-14,uid-214,25203,,,Range B,Finance Support Officer,Finance and HR Operational Services,0,16386,21663,Operational Delivery
Mar-14,uid-215,24363,,,Range B,HR Support Officer,Finance and HR Operational Services,0,16386,21663,Operational Delivery
Mar-14,uid-216,25203,,,Range B,HR Support Officer,Finance and HR Operational Services,0,16386,21663,Operational Delivery
Mar-14,uid-217,25203,,,Range C,Finance Support Officer,Finance and HR Operational Services,0,18727,26720,Finance
Mar-14,uid-218,24363,,,Range C,HR Support Officer,Finance and HR Operational Services,0,18727,26720,Operational Delivery
Mar-14,uid-219,24363,,,Range C,IT Support Officer,Finance and HR Operational Services,0,18727,26720,Operational Delivery
Mar-14,uid-220,24363,,,Range C,Project Support Officer,Finance and HR Operational Services,0,18727,26720,Operational Delivery
Mar-14,uid-221,25203,,,Range C,Project Support Officer,Finance and HR Operational Services,0,18727,26720,Finance
Mar-14,uid-222,25203,,,Range D,Finance Officer,Finance and HR Operational Services,0,24578,38255,Finance
Mar-14,uid-223,24363,,,Range D,HR Officer,Finance and HR Operational Services,0,24578,38255,Operational Delivery
Mar-14,uid-224,24363,,,Range D,IT Support Officer,Finance and HR Operational Services,0,24578,38255,Operational Delivery
Mar-14,uid-225,24363,,,Range E,Senior Project Manager,Finance and HR Operational Services,0,41550,57801,Operational Delivery
Mar-14,uid-226,24363,,,Range E2,Project Manager,Finance and HR Operational Services,0,49490,60000,Human Resources
Mar-14,uid-227,25203,,,Range B,Finance Support Officer,Finance in the Business,0,16386,21663,Finance
Mar-14,uid-228,25203,,,Range C,Finance Support Officer,Finance in the Business,0,18727,26720,Finance
Mar-14,uid-229,24363,,,Range D,Finance Officer,Finance in the Business,0,24578,38255,Finance
Mar-14,uid-230,25203,,,Range D,Finance Officer,Finance in the Business,0,24578,38255,Finance
Mar-14,uid-231,24011,,,Range D,Policy Advisor,Financial Services Strategy,0,24578,38255,Policy
Mar-14,uid-232,24011,,,Range E,Senior Policy Advisor,Financial Services Strategy,0,41550,57801,Policy
Mar-14,uid-233,24011,,,Range E2,Senior Policy Advisor,Financial Services Strategy,0,49490,60000,Policy
Mar-14,uid-234,23987,,,Range B,Policy Support Officer,Fiscal Policy and Statistics/GMS,0,16386,21663,Operational Delivery
Mar-14,uid-235,23987,,,Range C,Policy Support Officer,Fiscal Policy and Statistics/GMS,0,18727,26720,Policy
Mar-14,uid-236,23987,,,Range D,Policy Advisor,Fiscal Policy and Statistics/GMS,0,24578,38255,Policy
Mar-14,uid-237,23987,,,Range E,Senior Policy Advisor,Fiscal Policy and Statistics/GMS,0,41550,57801,Economics
